"occupation_id","from_onet_task_id","to_onet_task_id","dependency_type","dependency_strength","edge_confidence","notes"
"occ_13_1111_00","jd_ma_01","jd_ma_02","feeds","0.61","0.84","reviewed_job_posting_dependency"
"occ_13_1111_00","jd_ma_02","jd_ma_03","supports","0.55","0.82","reviewed_job_posting_dependency"
"occ_13_1111_00","jd_ma_03","jd_ma_04","feeds","0.49","0.80","reviewed_job_posting_dependency"
"occ_13_1111_00","manual_ma_01","manual_ma_02","feeds","0.58","0.88","manual_role_graph_dependency"
"occ_13_1111_00","manual_ma_02","manual_ma_03","feeds","0.64","0.88","manual_role_graph_dependency"
"occ_13_1111_00","manual_ma_04","manual_ma_03","enables","0.52","0.82","manual_role_graph_dependency"
"occ_13_1111_00","manual_ma_03","manual_ma_05","supports","0.48","0.80","manual_role_graph_dependency"
"occ_15_2051_00","jd_ds_01","jd_ds_02","feeds","0.58","0.84","reviewed_job_posting_dependency"
"occ_15_2051_00","jd_ds_02","jd_ds_03","feeds","0.63","0.86","reviewed_job_posting_dependency"
"occ_15_2051_00","jd_ds_03","jd_ds_04","feeds","0.57","0.84","reviewed_job_posting_dependency"
"occ_23_1011_00","jd_law_01","jd_law_04","feeds","0.56","0.84","reviewed_job_posting_dependency"
"occ_23_1011_00","jd_law_02","jd_law_01","enables","0.47","0.80","reviewed_job_posting_dependency"
"occ_23_1011_00","jd_law_04","jd_law_03","supports","0.52","0.82","reviewed_job_posting_dependency"
"occ_23_2011_00","manual_para_01","manual_para_02","feeds","0.62","0.88","manual_role_graph_dependency"
"occ_23_2011_00","manual_para_03","manual_para_02","enables","0.56","0.84","manual_role_graph_dependency"
"occ_23_2011_00","manual_para_02","manual_para_04","feeds","0.51","0.82","manual_role_graph_dependency"
"occ_27_3042_00","jd_tw_01","jd_tw_02","enables","0.48","0.80","reviewed_job_posting_dependency"
"occ_27_3042_00","jd_tw_04","jd_tw_03","enables","0.44","0.78","reviewed_job_posting_dependency"
"occ_27_3042_00","jd_tw_02","jd_tw_03","feeds","0.59","0.84","reviewed_job_posting_dependency"
"occ_13_1161_00","manual_mr_01","manual_mr_02","supports","0.46","0.80","manual_role_graph_dependency"
"occ_13_1161_00","manual_mr_02","manual_mr_03","feeds","0.61","0.86","manual_role_graph_dependency"
"occ_13_1161_00","manual_mr_03","manual_mr_04","feeds","0.67","0.88","manual_role_graph_dependency"
"occ_41_3091_00","jd_sr_01","jd_sr_02","feeds","0.60","0.84","reviewed_job_posting_dependency"
"occ_41_3091_00","jd_sr_02","jd_sr_03","supports","0.58","0.84","reviewed_job_posting_dependency"
"occ_41_3091_00","jd_sr_03","jd_sr_04","feeds","0.55","0.82","reviewed_job_posting_dependency"
"occ_43_4051_00","manual_cs_03","manual_cs_01","supports","0.54","0.82","manual_role_graph_dependency"
"occ_43_4051_00","manual_cs_01","manual_cs_02","feeds","0.49","0.80","manual_role_graph_dependency"
"occ_43_9111_00","manual_sa_01","manual_sa_02","feeds","0.63","0.86","manual_role_graph_dependency"
"occ_43_9111_00","manual_sa_02","manual_sa_03","supports","0.42","0.78","manual_role_graph_dependency"
"occ_27_3042_00","manual_tw_01","manual_tw_03","feeds","0.66","0.86","manual_role_graph_dependency"
