"occupation_id","task_id","exposure_score","augmentation_score","automation_score","confidence","notes"
"occ_13_1199_00","task_occ_13_1199_00_jd_bo_01","0.68","0.78","0.18","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_jd_bo_02","0.56","0.80","0.10","0.76","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_jd_bo_03","0.54","0.74","0.14","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_jd_bo_04","0.72","0.78","0.22","0.76","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_01","0.52","0.72","0.16","0.72","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_02","0.74","0.62","0.34","0.70","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_03","0.70","0.76","0.22","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_04","0.72","0.58","0.42","0.68","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_05","0.54","0.74","0.14","0.72","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_06","0.76","0.60","0.38","0.70","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_07","0.52","0.72","0.14","0.72","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_08","0.70","0.74","0.20","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_09","0.54","0.72","0.16","0.72","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_10","0.66","0.72","0.24","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_11","0.66","0.76","0.18","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_12","0.70","0.58","0.40","0.68","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_13","0.78","0.56","0.46","0.68","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_14","0.74","0.62","0.34","0.70","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_15","0.64","0.78","0.16","0.74","reviewed_business_ops_task_scoring"
"occ_13_1199_00","task_occ_13_1199_00_manual_bo_16","0.52","0.72","0.16","0.72","reviewed_business_ops_task_scoring"
