role_family,exposure_score,augmentation_score,automation_score,adaptive_capacity_score,transferability_score,learning_intensity_score,job_zone,earnings_quality_proxy,labor_market_security_proxy,working_environment_quality_proxy,autonomy_proxy,learning_opportunity_proxy,social_interaction_intensity,time_pressure_proxy,labor_market_confidence
software,0.78,0.63,0.42,0.82,0.80,0.78,4,0.81,0.74,0.67,0.78,0.82,0.44,0.72,0.84
admin,0.68,0.52,0.49,0.58,0.55,0.48,2,0.55,0.62,0.60,0.42,0.45,0.58,0.69,0.82
data,0.76,0.66,0.36,0.84,0.82,0.82,4,0.79,0.73,0.66,0.77,0.84,0.50,0.73,0.79
operations,0.63,0.56,0.37,0.66,0.64,0.60,3,0.62,0.66,0.61,0.58,0.57,0.62,0.71,0.78
consulting,0.70,0.64,0.31,0.78,0.79,0.74,4,0.80,0.72,0.65,0.79,0.76,0.70,0.75,0.81
marketing,0.72,0.62,0.35,0.74,0.72,0.70,4,0.69,0.66,0.60,0.68,0.70,0.72,0.74,0.80
finance,0.71,0.50,0.46,0.70,0.67,0.64,4,0.74,0.71,0.64,0.65,0.63,0.53,0.73,0.82
legal,0.60,0.43,0.32,0.58,0.54,0.58,4,0.77,0.70,0.63,0.67,0.61,0.66,0.72,0.76
creative,0.73,0.63,0.33,0.66,0.68,0.70,4,0.63,0.59,0.60,0.72,0.71,0.55,0.68,0.74
content,0.74,0.59,0.44,0.64,0.67,0.65,4,0.66,0.61,0.59,0.68,0.69,0.48,0.67,0.75
communications,0.69,0.60,0.30,0.69,0.70,0.68,4,0.67,0.64,0.60,0.68,0.69,0.74,0.72,0.77
journalism,0.71,0.58,0.32,0.64,0.69,0.68,4,0.64,0.56,0.58,0.70,0.69,0.64,0.78,0.73
hr,0.61,0.51,0.25,0.68,0.65,0.63,3,0.65,0.67,0.63,0.63,0.62,0.79,0.70,0.79
sales,0.57,0.49,0.24,0.65,0.69,0.60,3,0.68,0.63,0.58,0.64,0.60,0.84,0.76,0.78
engineering,0.59,0.48,0.23,0.76,0.73,0.77,4,0.82,0.75,0.68,0.74,0.78,0.47,0.74,0.80
product_management,0.66,0.60,0.24,0.77,0.76,0.73,4,0.83,0.72,0.64,0.80,0.75,0.78,0.79,0.80
