btos_reference_date,btos_release_label,btos_sector_code,btos_sector_label,current_ai_use_share,current_ai_use_se,current_llm_use_share,current_llm_use_se,current_task_substitution_share_conditional,current_task_substitution_se,current_workflow_change_share_conditional,current_workflow_change_se,planned_ai_use_share,planned_ai_use_se,planned_llm_use_share,planned_llm_use_se,planned_task_substitution_share_conditional,planned_task_substitution_se,planned_workflow_change_share_conditional,planned_workflow_change_se,current_task_substitution_intensity,planned_task_substitution_intensity,workflow_change_intensity,adoption_context_index,btos_confidence,source_mix,notes
2026-03-13,btos_ai_supplement_2026_03,11,"Agriculture, Forestry, Fishing and Hunting",0.014,0.004,,,,,,,0.015,0.004,,,,,,,,,,0.014,0.542,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,21,"Mining, Quarrying, and Oil and Gas Extraction",0.019,0.005,,,0.291,0.078,0.255,0.097,0.028,0.009,,,0.412,0.107,0.554,0.070,0.006,0.012,0.010,0.016,0.542,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,22,Utilities,,,,,0.339,0.146,,,0.023,0.006,,,0.298,0.131,,,,0.007,,0.016,0.400,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,23,Construction,0.014,0.001,0.002,0.000,0.157,0.020,0.129,0.018,0.022,0.001,0.080,0.018,0.273,0.033,0.345,0.027,0.002,0.006,0.005,0.012,0.915,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,31,Manufacturing,0.028,0.001,0.005,0.001,0.248,0.018,0.164,0.005,0.044,0.002,0.090,0.013,0.332,0.022,0.347,0.022,0.007,0.015,0.010,0.024,0.939,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,42,Wholesale Trade,0.024,0.001,0.005,0.001,0.214,0.019,0.152,0.017,0.041,0.001,0.107,0.019,0.285,0.019,0.360,0.019,0.005,0.012,0.009,0.022,0.930,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,44,Retail Trade,0.034,0.002,0.006,0.001,0.254,0.016,0.160,0.011,0.043,0.002,0.120,0.008,0.322,0.018,0.324,0.020,0.009,0.014,0.010,0.026,0.944,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,48,Transportation and Warehousing,0.015,0.002,0.003,0.001,0.173,0.027,0.141,0.033,0.026,0.004,0.157,0.032,0.319,0.033,0.352,0.048,0.003,0.008,0.006,0.016,0.869,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,51,Information,0.181,0.009,0.051,0.006,0.339,0.021,0.338,0.019,0.215,0.009,0.281,0.024,0.342,0.019,0.464,0.013,0.061,0.074,0.080,0.136,0.912,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,52,Finance and Insurance,0.069,0.003,0.014,0.002,0.266,0.017,0.203,0.020,0.102,0.004,0.110,0.007,0.354,0.014,0.372,0.027,0.018,0.036,0.026,0.056,0.932,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
2026-03-13,btos_ai_supplement_2026_03,53,Real Estate and Rental and Leasing,0.080,0.003,0.007,0.001,0.301,0.016,0.156,0.009,0.090,0.003,0.070,0.013,0.361,0.019,0.315,0.019,0.024,0.032,0.020,0.055,0.939,src_census_btos_2026_03,official_download=AI_Supplement_Table.xlsx|worksheet=Sector Response Estimates|conditional_scopes=q3_q7_scope2|q10_q14_scope4
