"occupation_id","adaptive_capacity_score","transferability_score","learning_intensity_score","transition_option_count","job_zone","source_mix","confidence","notes"
"occ_11_1021_00","0.670","0.667","0.644","14","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.53","derived_launch_aggregate|knowledge_share=0.48|people_share=0.49|routine_share=0.00"
"occ_13_1041_00","0.530","0.527","0.538","13","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.50","derived_launch_aggregate|knowledge_share=0.12|people_share=0.51|routine_share=0.37"
"occ_13_1071_00","0.594","0.573","0.555","13","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.74","derived_launch_aggregate|knowledge_share=0.17|people_share=0.51|routine_share=0.10"
"occ_13_1081_00","0.616","0.590","0.597","14","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.73","derived_launch_aggregate|knowledge_share=0.16|people_share=0.62|routine_share=0.22"
"occ_13_1082_00","0.593","0.550","0.548","14","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.49","derived_launch_aggregate|knowledge_share=0.00|people_share=0.62|routine_share=0.12"
"occ_13_1111_00","0.679","0.694","0.698","14","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.68","derived_launch_aggregate|knowledge_share=0.74|people_share=0.26|routine_share=0.00"
"occ_13_1151_00","0.616","0.608","0.585","14","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.72","derived_launch_aggregate|knowledge_share=0.26|people_share=0.58|routine_share=0.16"
"occ_13_1161_00","0.603","0.639","0.662","13","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.80","derived_launch_aggregate|knowledge_share=0.75|people_share=0.09|routine_share=0.16"
"occ_13_1199_00","0.565","0.588","0.534","13","3","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.47","derived_launch_aggregate|knowledge_share=0.50|people_share=0.33|routine_share=0.17"
"occ_13_2011_00","0.474","0.467","0.546","11","4","src_onet_30_1|src_anthropic_ei_2025_03_27|src_bls_oews_2024|src_bls_proj_2024_2034|src_bls_cps_occupation_unemployment_2026_03","0.50","derived_launch_aggregate|knowledge_share=0.25|people_share=0.02|routine_share=0.30"
