"occupation_id","alias","alias_type","source","weight"
"occ_11_1021_00","Area Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Boards and Commissions Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Business Coordinator","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Business Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","business unit manager","manual_seed","src_onet_30_1","0.85"
"occ_11_1021_00","Center Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Chief Administrative Officer (CAO)","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Corporate Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Department Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Department Store General Manager (Dept Store GM)","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Department Store Manager (Dept Store Manager)","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","District Commercial Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","District Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","District Plant Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","District Traffic Chief","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","District Wire Chief","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Division Toll Wire Chief","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Division Traffic Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Drilling and Production Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Electrical Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Equipment Maintenance Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Field Party Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Fish and Game Club Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","general manager","manual_seed","src_onet_30_1","0.85"
"occ_11_1021_00","General Manager (GM)","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","General Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Golf and Operations Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Golf Course Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Gym Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Installation Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","IO Manager (Industrial Organization Manager)","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Laundry Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Line Construction Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Manufacturing Operations Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Mine Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Movie Theater Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Newspaper Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Nonprofit Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Office Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Offshoring Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Operational Risk Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Operations Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Operations General Manager (Operations GM)","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Operations Manager","short_title","src_onet_30_1","0.95"
"occ_11_1021_00","Operations Supervisor","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Park Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Parks and Recreation Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Plant Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Print Production Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Printing Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Prison Warden","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Program Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Program Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Public Works Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Publication Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Refinery Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Revenue Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Revenue Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Roads Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Shelter Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Shift Supervisor","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Shop Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Site Operations Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Solid Waste Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Sports Team Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Store Director","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Store Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Street Commissioner","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Street Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Substation Superintendent","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Theatre Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Training Manager","alternate_title","src_onet_30_1","0.75"
"occ_11_1021_00","Venue Manager","alternate_title","src_onet_30_1","0.75"
