occupation_id,onet_soc_code,acs_reference_year,acs_release_label,acs_socp_code,acs_query_mode,sample_record_count,employed_record_count,weighted_worker_count,wage_record_count,median_wage_usd,wage_p25_usd,wage_p75_usd,wage_dispersion_ratio,wage_dispersion_percentile,education_dispersion,industry_dispersion,class_of_worker_dispersion,age_band_dispersion,sex_mix_balance,worker_mix_dispersion,heterogeneity_index,acs_confidence,source_mix,notes
occ_11_1021_00,11-1021.00,2024,acs_1yr_pums,111021,exact_socp,15348,13484,1448155.000,13225,81000.000,57000.000,120000.000,0.778,0.613,0.815,0.976,0.339,0.773,0.750,0.656,0.799,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=15348|employed_records=13484|wage_record_share=0.981|query_mode=exact_socp
occ_13_1041_00,13-1041.00,2024,acs_1yr_pums,131041,exact_socp,4284,3714,362707.000,3692,77000.000,54000.000,110000.000,0.727,0.484,0.776,0.969,0.642,0.782,0.870,0.778,0.785,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=4284|employed_records=3714|wage_record_share=0.994|query_mode=exact_socp
occ_13_1071_00,13-1071.00,2024,acs_1yr_pums,131070,grouped_zero_fallback,11433,9784,1049091.000,9669,70000.000,50000.000,100000.000,0.714,0.452,0.736,0.970,0.573,0.780,0.500,0.630,0.740,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=11433|employed_records=9784|wage_record_share=0.988|query_mode=grouped_zero_fallback
occ_13_1081_00,13-1081.00,2024,acs_1yr_pums,131081,exact_socp,2442,2108,239397.000,2076,60000.000,42000.000,84000.000,0.700,0.387,0.805,0.968,0.448,0.781,0.713,0.674,0.752,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=2442|employed_records=2108|wage_record_share=0.985|query_mode=exact_socp
occ_13_1082_00,13-1082.00,2024,acs_1yr_pums,131082,exact_socp,11487,10148,1017905.000,10033,98000.000,70000.000,130000.000,0.612,0.129,0.721,0.974,0.359,0.770,0.911,0.717,0.690,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=11487|employed_records=10148|wage_record_share=0.989|query_mode=exact_socp
occ_13_1111_00,13-1111.00,2024,acs_1yr_pums,131111,exact_socp,13691,11365,1146507.000,10036,97000.000,61000.000,144000.000,0.856,0.677,0.714,0.698,0.560,0.795,0.905,0.774,0.713,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=13691|employed_records=11365|wage_record_share=0.883|query_mode=exact_socp
occ_13_1151_00,13-1151.00,2024,acs_1yr_pums,131151,exact_socp,2276,1936,201902.000,1906,65000.000,45400.000,90000.000,0.686,0.323,0.818,0.983,0.544,0.788,0.877,0.758,0.765,0.949,src_census_acs_2024_1yr_pums_api,acs_api_records=2276|employed_records=1936|wage_record_share=0.985|query_mode=exact_socp
occ_13_1161_00,13-1161.00,2024,acs_1yr_pums,131161,exact_socp,5842,4976,524968.000,4652,75000.000,45000.000,125000.000,1.067,0.935,0.635,0.963,0.414,0.751,0.782,0.678,0.818,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=5842|employed_records=4976|wage_record_share=0.935|query_mode=exact_socp
occ_13_1199_00,13-1199.00,2024,acs_1yr_pums,131199,exact_socp,8474,7049,739932.000,6863,60000.000,37000.000,96000.000,0.983,0.806,0.804,0.981,0.566,0.791,0.839,0.752,0.856,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=8474|employed_records=7049|wage_record_share=0.974|query_mode=exact_socp
occ_13_2011_00,13-2011.00,2024,acs_1yr_pums,132011,exact_socp,20814,17673,1744196.000,16830,80000.000,54000.000,115000.000,0.762,0.581,0.579,0.894,0.485,0.795,0.831,0.731,0.720,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=20814|employed_records=17673|wage_record_share=0.952|query_mode=exact_socp
occ_13_2051_00,13-2051.00,2024,acs_1yr_pums,132051,exact_socp,4146,3633,380057.000,3548,92000.000,66000.000,130000.000,0.696,0.355,0.612,0.925,0.394,0.771,0.863,0.709,0.690,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=4146|employed_records=3633|wage_record_share=0.977|query_mode=exact_socp
occ_15_1211_00,15-1211.00,2024,acs_1yr_pums,151211,exact_socp,7498,6568,696154.000,6487,85000.000,63000.000,115000.000,0.612,0.097,0.698,0.950,0.425,0.786,0.864,0.723,0.671,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=7498|employed_records=6568|wage_record_share=0.988|query_mode=exact_socp
occ_15_1252_00,15-1252.00,2024,acs_1yr_pums,151252,exact_socp,24270,21827,2315771.000,21558,130000.000,94000.000,180000.000,0.662,0.258,0.629,0.804,0.217,0.756,0.385,0.491,0.588,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=24270|employed_records=21827|wage_record_share=0.988|query_mode=exact_socp
occ_15_1254_00,15-1254.00,2024,acs_1yr_pums,151254,exact_socp,941,809,84195.000,740,82000.000,54000.000,120000.000,0.805,0.645,0.683,0.862,0.556,0.745,0.572,0.637,0.729,0.880,src_census_acs_2024_1yr_pums_api,acs_api_records=941|employed_records=809|wage_record_share=0.915|query_mode=exact_socp
occ_15_2031_00,15-2031.00,2024,acs_1yr_pums,152031,exact_socp,2460,2154,207249.000,2142,92000.000,65000.000,120000.000,0.598,0.065,0.713,0.943,0.735,0.783,0.983,0.841,0.690,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=2460|employed_records=2154|wage_record_share=0.994|query_mode=exact_socp
occ_15_2051_00,15-2051.00,2024,acs_1yr_pums,152051,no_rows,0,0,0.000,0,,,,,,,,,,,,,0.350,src_census_acs_2024_1yr_pums_api,acs_api_records=0|employed_records=0|wage_record_share=0.000|query_mode=no_rows
occ_17_2072_00,17-2072.00,2024,acs_1yr_pums,172070,grouped_zero_fallback,3614,3034,299447.000,2991,110000.000,82000.000,150000.000,0.618,0.161,0.655,0.926,0.295,0.793,0.232,0.472,0.615,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=3614|employed_records=3034|wage_record_share=0.986|query_mode=grouped_zero_fallback
occ_17_2141_00,17-2141.00,2024,acs_1yr_pums,172141,exact_socp,4303,3745,384286.000,3715,100000.000,77000.000,130000.000,0.530,0.000,0.607,0.889,0.152,0.774,0.180,0.411,0.545,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=4303|employed_records=3745|wage_record_share=0.992|query_mode=exact_socp
occ_23_1011_00,23-1011.00,2024,acs_1yr_pums,231011,no_rows,0,0,0.000,0,,,,,,,,,,,,,0.350,src_census_acs_2024_1yr_pums_api,acs_api_records=0|employed_records=0|wage_record_share=0.000|query_mode=no_rows
occ_23_2011_00,23-2011.00,2024,acs_1yr_pums,232011,exact_socp,5805,4735,491790.000,4642,55000.000,39200.000,75000.000,0.651,0.226,0.769,0.383,0.373,0.799,0.296,0.516,0.475,0.950,src_census_acs_2024_1yr_pums_api,acs_api_records=5805|employed_records=4735|wage_record_share=0.980|query_mode=exact_socp
occ_27_1024_00,27-1024.00,2024,acs_1yr_pums,271024,exact_socp,3926,3298,339495.000,2830,54000.000,35000.000,75000.000,0.741,0.516,0.613,0.899,0.573,0.777,0.872,0.759,0.723,0.936,src_census_acs_2024_1yr_pums_api,acs_api_records=3926|employed_records=3298|wage_record_share=0.858|query_mode=exact_socp
occ_27_3023_00,27-3023.00,2024,acs_1yr_pums,273023,exact_socp,1029,822,85938.000,768,60000.000,37000.000,99000.000,1.033,0.871,0.513,0.759,0.467,0.780,0.963,0.766,0.721,0.886,src_census_acs_2024_1yr_pums_api,acs_api_records=1029|employed_records=822|wage_record_share=0.934|query_mode=exact_socp
occ_27_3031_00,27-3031.00,2024,acs_1yr_pums,273031,exact_socp,1821,1558,160918.000,1508,75000.000,46000.000,125000.000,1.053,0.903,0.656,0.945,0.715,0.781,0.638,0.714,0.818,0.935,src_census_acs_2024_1yr_pums_api,acs_api_records=1821|employed_records=1558|wage_record_share=0.968|query_mode=exact_socp
