"occupation_id","earnings_quality_proxy","labor_market_security_proxy","working_environment_quality_proxy","autonomy_proxy","learning_opportunity_proxy","social_interaction_intensity","time_pressure_proxy","quality_confidence","source_mix","notes"
"occ_11_1021_00","0.83","0.72","0.64","0.80","0.75","0.78","0.79","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","0.62","0.66","0.61","0.58","0.57","0.62","0.71","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","0.65","0.67","0.63","0.63","0.62","0.79","0.70","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","0.62","0.66","0.61","0.58","0.57","0.62","0.71","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","0.83","0.72","0.64","0.80","0.75","0.78","0.79","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","0.80","0.72","0.65","0.79","0.76","0.70","0.75","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","0.65","0.67","0.63","0.63","0.62","0.79","0.70","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","0.69","0.66","0.60","0.68","0.70","0.72","0.74","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1199_00","0.80","0.72","0.65","0.79","0.76","0.70","0.75","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2011_00","0.74","0.71","0.64","0.65","0.63","0.53","0.73","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_2051_00","0.74","0.71","0.64","0.65","0.63","0.53","0.73","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1211_00","0.81","0.74","0.67","0.78","0.82","0.44","0.72","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1252_00","0.81","0.74","0.67","0.78","0.82","0.44","0.72","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_1254_00","0.81","0.74","0.67","0.78","0.82","0.44","0.72","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2031_00","0.79","0.73","0.66","0.77","0.84","0.50","0.73","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_15_2051_00","0.79","0.73","0.66","0.77","0.84","0.50","0.73","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2072_00","0.82","0.75","0.68","0.74","0.78","0.47","0.74","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_17_2141_00","0.82","0.75","0.68","0.74","0.78","0.47","0.74","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_1011_00","0.77","0.70","0.63","0.67","0.61","0.66","0.72","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_23_2011_00","0.77","0.70","0.63","0.67","0.61","0.66","0.72","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_1024_00","0.63","0.59","0.60","0.72","0.71","0.55","0.68","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3023_00","0.64","0.56","0.58","0.70","0.69","0.64","0.78","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3031_00","0.67","0.64","0.60","0.68","0.69","0.74","0.72","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3041_00","0.66","0.61","0.59","0.68","0.69","0.48","0.67","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3042_00","0.66","0.61","0.59","0.68","0.69","0.48","0.67","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_27_3043_00","0.63","0.59","0.60","0.72","0.71","0.55","0.68","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3011_00","0.68","0.63","0.58","0.64","0.60","0.84","0.76","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_41_3091_00","0.68","0.63","0.58","0.64","0.60","0.84","0.76","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_3031_00","0.74","0.71","0.64","0.65","0.63","0.53","0.73","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_4051_00","0.62","0.66","0.61","0.58","0.57","0.62","0.71","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6011_00","0.55","0.62","0.60","0.42","0.45","0.58","0.69","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_6014_00","0.55","0.62","0.60","0.42","0.45","0.58","0.69","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9061_00","0.55","0.62","0.60","0.42","0.45","0.58","0.69","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_43_9111_00","0.79","0.73","0.66","0.77","0.84","0.50","0.73","0.42","src_oecd_job_quality_2014|src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
