"occupation_id","direct_task_pressure","indirect_dependency_pressure","function_exposure_pressure","retained_function_strength","retained_accountability_strength","retained_bargaining_power","role_fragmentation_risk","role_compressibility","demand_expansion_signal","delegation_likelihood","headcount_displacement_risk","role_transformation_type","confidence","source_mix","notes"
"occ_11_1021_00","0.3945","0.2266","0.3515","0.7078","0.6392","0.7414","0.2175","0.1444","0.5336","0.3675","0.2513","workflow_recomposition","0.6818","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6440|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.4500|calibration=reviewed_calibration|operations_ownership_and_resource_decisions_remain_human"
"occ_13_1041_00","0.4184","0.1472","0.3119","0.7820","0.7999","0.7385","0.1793","0.1339","0.4478","0.3331","0.2225","workflow_recomposition","0.6879","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7830|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.4600|calibration=reviewed_calibration|compliance_work_retains_human_authority_liability_and_escalation_ownership"
"occ_13_1071_00","0.3825","0.2238","0.3072","0.7093","0.6804","0.7111","0.2090","0.1411","0.4835","0.3283","0.2600","workflow_recomposition","0.6785","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6420|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5200|calibration=reviewed_calibration|hr_work_retains_manager_coaching_and_employee_trust"
"occ_13_1081_00","0.3312","0.1992","0.2790","0.6898","0.6107","0.7273","0.2002","0.1316","0.5642","0.3128","0.2454","workflow_recomposition","0.6626","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5670|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5600|calibration=reviewed_calibration|logistics_work_recomposes_but_supply_coordination_and_tradeoffs_remain_human"
"occ_13_1082_00","0.3960","0.1671","0.3600","0.6897","0.6320","0.6800","0.2145","0.1552","0.4742","0.3771","0.2578","workflow_recomposition","0.6670","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6530|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.3500|calibration=reviewed_calibration|project_coordination_retains_significant_human_ownership"
"occ_13_1111_00","0.2499","0.1351","0.2227","0.7599","0.6504","0.7752","0.1643","0.1148","0.5816","0.2369","0.1947","limited_near_term_change","0.6937","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6600|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.5500|calibration=reviewed_calibration|recommendation_and_adoption_work_remain_core"
"occ_13_1151_00","0.2995","0.1484","0.2847","0.7125","0.6667","0.7113","0.1755","0.1218","0.5396","0.3122","0.2157","workflow_recomposition","0.6506","src_anthropic_ei_2025_03_27|src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6420|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6000|calibration=reviewed_calibration|learning_roles_recompose_but_program_ownership_remains_human"
"occ_13_1161_00","0.3362","0.2092","0.2730","0.6423","0.5395","0.6679","0.2093","0.1390","0.5254","0.3317","0.2838","workflow_recomposition","0.6451","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.5460|support_high_pressure=0.0000|routine_high_pressure=0.0000|benchmark_mean=0.6821|calibration=reviewed_calibration|marketing_ops_and_analysis_face_stronger_tooling_pressure"
"occ_13_1199_00","0.4313","0.2682","0.4185","0.6359","0.5812","0.6739","0.2452","0.2080","0.4655","0.4265","0.3178","workflow_recomposition","0.5815","src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.6190|support_high_pressure=0.0000|routine_high_pressure=0.1374|benchmark_mean=0.4500|calibration=reviewed_calibration|broad_ops_role_still_requires_human_follow_through_and_judgment"
"occ_13_2011_00","0.4394","0.2418","0.3770","0.7090","0.7036","0.6994","0.2615","0.2045","0.4074","0.3755","0.3022","workflow_recomposition","0.7052","src_anthropic_ei_2026_01_15|src_openai_gpts_are_gpts_2023|src_reviewed_role_calibration_2026_03|src_role_function_seed_2026_03|src_role_transformation_model_2026_03|src_v2_cluster_prior_proxy_2026_03","guardrail=0.7310|support_high_pressure=0.1336|routine_high_pressure=0.0678|benchmark_mean=0.5500|calibration=reviewed_calibration|finance_control_work_retains_more_senior_residual_value"
