"occupation_id","onet_task_id","task_statement","task_type","importance","frequency","source_mix","notes"
"occ_11_1021_00","19501","Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.","Supplemental","0.53","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20699","Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.","Core","0.79","0.03","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20700","Direct administrative activities directly related to making products or providing services.","Core","0.75","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20701","Prepare staff work schedules and assign specific duties.","Core","0.74","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20702","Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.","Core","0.61","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20703","Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.","Core","0.72","0.21","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20704","Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.","Core","0.69","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20705","Perform personnel functions, such as selection, training, or evaluation.","Core","0.70","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20706","Plan or direct activities, such as sales promotions, that require coordination with other department managers.","Core","0.71","0.75","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20707","Set prices or credit terms for goods or services, based on forecasts of customer demand.","Supplemental","0.75","0.70","src_onet_30_1","onet_normalized"
"occ_11_1021_00","20708","Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.","Supplemental","0.76","0.83","src_onet_30_1","onet_normalized"
"occ_11_1021_00","933","Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.","Core","0.78","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","944","Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.","Supplemental","0.72","1.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","945","Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.","Supplemental","0.64","0.00","src_onet_30_1","onet_normalized"
"occ_11_1021_00","947","Direct non-merchandising departments of businesses, such as advertising or purchasing.","Supplemental","0.63","0.35","src_onet_30_1","onet_normalized"
"occ_11_1021_00","948","Recommend locations for new facilities, or oversee the remodeling or renovating of current facilities.","Supplemental","0.45","0.20","src_onet_30_1","onet_normalized"
"occ_11_1021_00","949","Plan store layouts or design displays.","Supplemental","0.48","0.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21446","Warn violators of infractions or penalties.","Core","0.85","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21447","Evaluate applications, records, or documents to gather information about eligibility or liability issues.","Core","0.84","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21448","Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.","Core","0.84","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21449","Prepare reports of activities, evaluations, recommendations, or decisions.","Core","0.82","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21450","Report law or regulation violations to appropriate boards or agencies.","Core","0.79","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21451","Confer with or interview officials, technical or professional specialists, or applicants to obtain information or to clarify facts relevant to licensing decisions.","Core","0.76","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21452","Issue licenses to individuals meeting standards.","Supplemental","0.88","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21453","Collect fees for licenses.","Supplemental","0.86","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21454","Administer oral, written, road, or flight tests to license applicants.","Supplemental","0.85","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21455","Visit establishments to verify that valid licenses or permits are displayed and that licensing standards are being upheld.","Supplemental","0.84","0.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21456","Score tests and observe equipment operation and control to rate ability of applicants.","Supplemental","0.82","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21457","Prepare correspondence to inform concerned parties of licensing decisions or appeals processes.","Supplemental","0.77","1.00","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21458","Identify compliance issues that require follow-up or investigation.","n/a","0.60","0.50","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21459","Keep informed regarding pending industry changes, trends, or best practices.","n/a","0.60","0.50","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21460","Provide assistance to internal or external auditors in compliance reviews.","n/a","0.60","0.50","src_onet_30_1","onet_normalized"
"occ_13_1041_00","21461","Verify that all firm and regulatory policies and procedures have been documented, implemented, and communicated.","n/a","0.60","0.50","src_onet_30_1","onet_normalized"
"occ_13_1071_00","18852","Address employee relations issues, such as harassment allegations, work complaints, or other employee concerns.","Core","0.83","0.00","src_onet_30_1","onet_normalized"
"occ_13_1071_00","18853","Analyze employment-related data and prepare required reports.","Core","0.70","0.65","src_onet_30_1","onet_normalized"
"occ_13_1071_00","18854","Conduct exit interviews and ensure that necessary employment termination paperwork is completed.","Core","0.72","0.00","src_onet_30_1","onet_normalized"
"occ_13_1071_00","18855","Conduct reference or background checks on job applicants.","Supplemental","0.82","0.00","src_onet_30_1","onet_normalized"
