"unemployment_group_id","unemployment_group_label","unemployment_series_id","year","month","period","month_label","unemployment_rate","is_missing","source_id","notes"
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","3","M03","Mar 2025","2.3","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","4","M04","Apr 2025","2.2","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","5","M05","May 2025","2.6","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","6","M06","Jun 2025","2.4","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","7","M07","Jul 2025","2.1","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","8","M08","Aug 2025","2.2","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","9","M09","Sep 2025","2.1","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","10","M10","Oct 2025",,"1","src_bls_cps_occupation_unemployment_2026_03","Data unavailable due to the 2025 lapse in appropriations."
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","11","M11","Nov 2025","2.5","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2025","12","M12","Dec 2025","2.5","0","src_bls_cps_occupation_unemployment_2026_03",""
"management_business_financial_operations","Management, business, and financial operations occupations","LNU04032216","2026","1","M01","Jan 2026","2.6","0","src_bls_cps_occupation_unemployment_2026_03","January 2026 estimates were revised to incorporate updated population controls. For more information, see www.bls.gov/cps/documentation.htm#pop."
