"occupation_id","onet_task_id","task_cluster_id","source_id","exposure_score","augmentation_score","automation_score","observed_usage_share","evidence_type","confidence","notes"
"occ_11_1021_00","20699","cluster_qa_review","src_anthropic_ei_2026_01_15","0.24","0.32","0.60","0.0002","anthropic_task_usage","0.79","anthropic_normalized|release_2026_01_15|task_count=486|work_share=0.86|autonomy_mean=3.13|success_share=0.45|time_ratio=3.20"
"occ_11_1021_00","20702","cluster_coordination","src_anthropic_ei_2026_01_15","0.25","0.10","0.77","0.0000","anthropic_task_usage","0.71","anthropic_normalized|release_2026_01_15|task_count=16|work_share=1.00|autonomy_mean=3.19|success_share=0.00|time_ratio=1.39"
"occ_11_1021_00","20707","cluster_client_interaction","src_anthropic_ei_2026_01_15","0.09","0.20","0.10","0.0000","anthropic_task_usage","0.49","anthropic_normalized|release_2026_01_15|task_count=20|work_share=0.00|autonomy_mean=3.20|success_share=0.85|time_ratio=2.83"
"occ_11_1021_00","945","cluster_drafting","src_anthropic_ei_2026_01_15","0.24","0.60","0.41","0.0001","anthropic_task_usage","0.77","anthropic_normalized|release_2026_01_15|task_count=186|work_share=0.88|autonomy_mean=3.55|success_share=0.63|time_ratio=2.42"
"occ_11_1021_00","stub_11_1021_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.54","0.68","0.08","0.22","generated_task_proxy","0.45","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.58","0.70","0.12","0.30","generated_task_proxy","0.49","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.60","0.72","0.14","0.26","generated_task_proxy","0.50","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.70","0.58","0.32","0.18","generated_task_proxy","0.42","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_oversight_strategy","cluster_oversight_strategy","src_internal_stub_2026_03","0.52","0.68","0.06","0.24","generated_task_proxy","0.46","launch_stub_generated"
"occ_11_1021_00","stub_11_1021_00_qa_review","cluster_qa_review","src_internal_stub_2026_03","0.64","0.70","0.25","0.18","generated_task_proxy","0.41","launch_stub_generated"
