"occupation_id","task_id","function_id","edge_type","task_to_function_weight","accountability_weight","judgment_requirement","trust_requirement","regulatory_liability_weight","human_authority_requirement","source_mix","source_confidence","notes"
"occ_11_1021_00","task_occ_11_1021_00_19501","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5486","0.7163","0.6187","0.6473","0.4199","0.7089","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7035","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_19501","fn_occ_11_1021_00_primary","directly_supports","0.4514","0.6683","0.5883","0.6353","0.4101","0.6505","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7125","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20699","fn_occ_11_1021_00_people_resource_leadership","supports","0.4574","0.6408","0.5687","0.6137","0.4107","0.6177","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6007","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20699","fn_occ_11_1021_00_primary","supports","0.5426","0.6567","0.5747","0.6017","0.4193","0.5931","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6097","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20700","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5000","0.7440","0.6817","0.6920","0.4150","0.7044","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6958","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20700","fn_occ_11_1021_00_primary","directly_supports","0.5000","0.7300","0.6707","0.6800","0.4150","0.6640","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7048","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20701","fn_occ_11_1021_00_people_resource_leadership","supports","0.4477","0.4938","0.5349","0.5501","0.3298","0.5715","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6593","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20701","fn_occ_11_1021_00_primary","supports","0.5523","0.5164","0.5448","0.5381","0.3402","0.5505","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6683","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20702","fn_occ_11_1021_00_people_resource_leadership","supports","0.5578","0.6111","0.5406","0.5589","0.3408","0.5998","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7063","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20702","fn_occ_11_1021_00_primary","supports","0.4422","0.5567","0.5064","0.5469","0.3292","0.5380","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7153","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20703","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5496","0.6200","0.5389","0.5707","0.3400","0.5994","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7360","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20703","fn_occ_11_1021_00_primary","directly_supports","0.4504","0.5713","0.5081","0.5587","0.3300","0.5407","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7450","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20704","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5513","0.6146","0.5393","0.5646","0.3401","0.5992","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7063","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20704","fn_occ_11_1021_00_primary","directly_supports","0.4487","0.5646","0.5077","0.5526","0.3299","0.5398","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7153","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20705","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5511","0.6152","0.5392","0.5653","0.3401","0.5992","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7063","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20705","fn_occ_11_1021_00_primary","directly_supports","0.4489","0.5654","0.5078","0.5533","0.3299","0.5399","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7153","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20706","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5046","0.7456","0.6099","0.6920","0.4155","0.7053","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.7206","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20706","fn_occ_11_1021_00_primary","directly_supports","0.4954","0.7284","0.5971","0.6800","0.4145","0.6631","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.7296","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20707","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5451","0.7072","0.6789","0.6894","0.3395","0.6575","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6716","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20707","fn_occ_11_1021_00_primary","directly_supports","0.4549","0.6616","0.6499","0.6774","0.3305","0.6004","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6806","reviewed_primary_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20708","fn_occ_11_1021_00_people_resource_leadership","directly_supports","0.5095","0.7345","0.6473","0.6792","0.4159","0.7049","src_role_function_seed_2026_03|src_role_function_expansion_2026_03","0.6738","reviewed_multi_anchor_task_function_edge"
"occ_11_1021_00","task_occ_11_1021_00_20708","fn_occ_11_1021_00_primary","directly_supports","0.4905","0.7139","0.6325","0.6672","0.4141","0.6610","src_role_function_seed_2026_03|src_manual_role_graph_review_2026_03","0.6828","reviewed_primary_task_function_edge"
