onet_soc_code,employment_us,median_wage_usd,wage_p25_usd,wage_p75_usd
11-1011.00,211850,206420,126080,#
11-1021.00,3584420,102950,67160,164130
11-1031.00,26510,44810,29120,80350
11-2011.00,21100,126960,85990,178570
11-2021.00,384980,161030,111210,211080
11-2022.00,603710,138060,95910,201490
11-2032.00,76060,138520,102300,198000
11-2033.00,36920,123480,92880,166420
11-3012.00,254140,108390,83660,147150
11-3013.00,141090,104690,80150,135650
11-3021.00,645970,171200,134350,216220
11-3031.00,818620,161700,118360,214210
11-3051.00,234380,121440,94620,156330
11-3061.00,81240,139510,107430,175460
11-3071.00,213000,102010,78360,136050
11-3111.00,20070,140360,105210,190890
11-3121.00,215520,140030,105590,189960
11-3131.00,44960,127090,96110,169310
11-9013.00,5910,87980,67970,115200
11-9021.00,348330,106980,83480,139330
11-9031.00,71620,56270,45310,72690
11-9032.00,319630,104070,83840,132550
11-9033.00,176420,103960,79880,140940
11-9039.00,53330,89040,65180,121720
11-9041.00,210340,167740,134930,207210
11-9051.00,244230,65310,53090,82300
11-9071.00,4620,85580,70190,120490
11-9072.00,36700,77180,58380,101750
11-9081.00,41350,68130,50040,90670
11-9111.00,565840,117960,88560,162420
11-9121.00,100870,161180,114110,214820
11-9131.00,13810,92730,87150,99590
11-9141.00,296640,66700,49530,95760
11-9151.00,195490,78240,62420,100600
11-9161.00,12570,86130,64470,119690
11-9171.00,13120,76830,59780,99330
11-9179.00,10490,61340,47670,82890
11-9199.00,630980,136550,100010,179190
13-1011.00,14220,96310,63100,168850
13-1020.00,486900,75650,58670,99190
13-1031.00,305020,76790,60100,95990
13-1032.00,7790,76650,64280,86430
13-1041.00,397770,78420,59130,104800
13-1051.00,219530,77070,59830,99630
13-1071.00,917460,72910,55870,97270
13-1074.00,410,48690,32860,58250
13-1075.00,64590,93500,67670,123090
13-1081.00,235640,80880,62920,104330
13-1082.00,1006160,100750,76950,131660
13-1111.00,893900,101190,76770,133140
13-1121.00,134670,59440,45610,77150
13-1131.00,105930,66490,52590,85280
13-1141.00,102370,77020,59700,99210
13-1151.00,436610,65850,48900,91550
13-1161.00,861140,76950,56220,104870
13-1199.00,1128200,81270,60820,110030
13-2011.00,1448290,81680,64660,106450
13-2020.00,59070,65420,49310,90810
13-2031.00,47170,87930,72240,110380
13-2041.00,67370,80970,63850,113850
13-2051.00,340580,101350,78300,132050
13-2052.00,270480,102140,70620,172540
13-2053.00,107820,79880,63070,104820
13-2054.00,56320,106000,80280,145020
13-2061.00,62830,90400,66800,127210
13-2071.00,28110,50480,45420,61760
13-2072.00,290530,74180,50460,101920
13-2081.00,53530,59740,46820,79330
13-2082.00,73570,50560,37750,75590
13-2099.00,127450,80190,60140,109120
15-1211.00,497800,103790,80900,132360
15-1212.00,179430,124910,92160,159600
15-1221.00,38480,140910,102710,181210
15-1231.00,146450,73340,56720,95710
15-1232.00,697210,60340,47580,77010
15-1241.00,177010,130390,102120,164440
