Major groups,Job title,Average score,mean_exposure_level,Standard deviation
4 - Clerical support workers,Data Entry Clerks,0.7,"Highest exposure, low task variability (gradient 4)",0.03
4 - Clerical support workers,Typists and Word Processing Operators,0.65,"Highest exposure, low task variability (gradient 4)",0.05
4 - Clerical support workers,Accounting and Bookkeeping Clerks,0.64,"Highest exposure, low task variability (gradient 4)",0.07
4 - Clerical support workers,"Statistical, Finance and Insurance Clerks",0.64,"Highest exposure, low task variability (gradient 4)",0.02
3 - Technicians and associate professionals,Securities and Finance Dealers and Brokers,0.63,"Highest exposure, low task variability (gradient 4)",0.04
4 - Clerical support workers,Clerical Support Workers Not Elsewhere Classified,0.63,"Highest exposure, low task variability (gradient 4)",0.03
2 - Professionals,Financial Analysts,0.62,"Highest exposure, low task variability (gradient 4)",0.06
4 - Clerical support workers,Payroll Clerks,0.61,"Highest exposure, low task variability (gradient 4)",0.08
5 - Service and sales workers,Contact Centre Salespersons,0.61,"Highest exposure, low task variability (gradient 4)",0.1
2 - Professionals,Web and Multimedia Developers,0.6,"Highest exposure, low task variability (gradient 4)",0.08
3 - Technicians and associate professionals,Credit and Loans Officers,0.6,"Highest exposure, low task variability (gradient 4)",0.04
4 - Clerical support workers,General Office Clerks,0.6,"Highest exposure, low task variability (gradient 4)",0.1
4 - Clerical support workers,Personnel Clerks,0.6,"Highest exposure, low task variability (gradient 4)",0.09
2 - Professionals,"Translators, Interpreters and Other Linguists",0.59,"Significant exposure, high task variability (gradient 3)",0.11
4 - Clerical support workers,Secretaries (general),0.58,"Significant exposure, high task variability (gradient 3)",0.1
4 - Clerical support workers,Bank Tellers and Related Clerks,0.58,"Significant exposure, high task variability (gradient 3)",0.09
4 - Clerical support workers,Contact Centre Information Clerks,0.58,"Significant exposure, high task variability (gradient 3)",0.06
4 - Clerical support workers,Scribes and Related Workers,0.58,"Significant exposure, high task variability (gradient 3)",0.08
2 - Professionals,Financial and Investment Advisers,0.57,"Significant exposure, high task variability (gradient 3)",0.11
2 - Professionals,Applications Programmers,0.57,"Significant exposure, high task variability (gradient 3)",0.08
2 - Professionals,Database Designers and Administrators,0.57,"Significant exposure, high task variability (gradient 3)",0.08
2 - Professionals,Systems Aministrators,0.57,"Significant exposure, high task variability (gradient 3)",0.05
