onet_soc_code,occupation_title,exposure_score,augmentation_score,automation_score,adaptive_capacity_score,confidence,release_date,source_table,notes
31-1120.00,Home health and personal care aides,0.13,,,0.40,,2026-01-01,Table 5,Modified SIPP aggregation of 31-1121/31-1122; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-2031.00,Retail salespersons,0.40,,,0.34,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
35-3023.00,Fast food and counter workers,0.09,,,0.20,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
11-1021.00,General and operations managers,0.38,,,0.82,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
53-3032.00,Driver/sales workers and truck drivers,0.17,,,0.07,,2026-01-01,Table 5,Combined driver/sales and truck drivers; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
29-1141.00,Registered nurses,0.37,,,0.79,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
41-2011.00,Cashiers,0.32,,,0.28,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
53-7062.00,"Laborers and freight, stock, and material movers, hand",0.05,,,0.16,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
25-1000.00,Postsecondary teachers,0.48,,,0.59,,2026-01-01,Table 5,Broad group code; paper uses aggregate; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-5081.00,Stockers and order fillers,0.18,,,0.31,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
35-2010.00,Cooks,0.11,,,0.26,,2026-01-01,Table 5,Broad group; multiple cook subcategories; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-4051.00,Customer service representatives,0.67,,,0.54,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-9061.00,"Office clerks, general",0.50,,,0.22,,2026-01-01,Table 5,High-vulnerability occupation per paper; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
35-3031.00,Waiters and waitresses,0.22,,,0.42,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
37-2011.00,Janitors and building cleaners,0.02,,,0.10,,2026-01-01,Table 5,O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
25-2020.00,Elementary and middle school teachers,0.33,,,0.67,,2026-01-01,Table 5,Broad group code; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
43-6014.00,"Secretaries and administrative assistants, except legal, medical, and executive",0.59,,,0.14,,2026-01-01,Table 5,High-vulnerability occupation per paper; O*NET-SOC code mapped from Modified SIPP occupation title; paper does not publish O*NET codes directly
