planned_file,category,priority,status,notes
occupation_data.txt,occupation_structure,core,pending_download,Canonical O*NET occupation table.
alternate_titles.txt,occupation_structure,core,pending_download,Occupation alias support for selector search.
task_statements.txt,task_structure,core,pending_download,Task text used for task-cluster mapping.
task_ratings.txt,task_structure,core,pending_download,Importance and frequency weights for tasks.
work_context.txt,work_context,core,pending_download,Context and coupling proxies.
dwa_reference.txt,task_structure,core,pending_download,Detailed work activity reference table.
tasks_to_dwas.txt,task_structure,core,pending_download,Task to DWA mapping file.
skills.txt,capability_structure,supporting,pending_download,Skill layer for adaptation scoring.
abilities.txt,capability_structure,supporting,pending_download,Ability layer for adaptation scoring.
work_styles.txt,capability_structure,supporting,pending_download,Work style proxies for role quality and human advantage.
job_zones.txt,capability_structure,core,pending_download,Training and preparation tier for adaptation priors.
related_occupations.txt,transition_structure,supporting,pending_download,Adjacency hints for transformed role paths.
