"occupation_id","task_cluster_id","exposure_score","augmentation_likelihood","partial_automation_likelihood","high_automation_likelihood","evidence_confidence","primary_sources","notes"
"occ_13_1041_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1041_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_client_interaction","0.49","0.59","0.09","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_coordination","0.53","0.61","0.13","0.02","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_decision_support","0.55","0.63","0.15","0.03","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_documentation","0.65","0.49","0.33","0.21","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_qa_review","0.59","0.61","0.26","0.14","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_relationship_management","0.43","0.57","0.05","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1071_00","cluster_workflow_admin","0.69","0.47","0.37","0.25","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1081_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_client_interaction","0.51","0.64","0.21","0.09","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_coordination","0.55","0.66","0.25","0.13","0.56","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_decision_support","0.57","0.68","0.27","0.15","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_documentation","0.67","0.54","0.45","0.33","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_execution_routine","0.75","0.46","0.53","0.41","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1082_00","cluster_workflow_admin","0.71","0.52","0.49","0.37","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_analysis","0.77","0.65","0.33","0.25","0.79","src_anthropic_ei_2025_03_27|src_onet_30_1","anthropic_normalized"
"occ_13_1111_00","cluster_client_interaction","0.58","0.72","0.15","0.03","0.54","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_coordination","0.62","0.74","0.19","0.07","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_decision_support","0.64","0.76","0.21","0.09","0.60","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_documentation","0.74","0.62","0.39","0.27","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1111_00","cluster_oversight_strategy","0.56","0.72","0.13","0.02","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_client_interaction","0.49","0.59","0.09","0.02","0.50","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_coordination","0.53","0.61","0.13","0.02","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_decision_support","0.55","0.63","0.15","0.03","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_documentation","0.65","0.49","0.33","0.21","0.52","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_qa_review","0.59","0.61","0.26","0.14","0.47","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_relationship_management","0.43","0.57","0.05","0.02","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1151_00","cluster_workflow_admin","0.69","0.47","0.37","0.25","0.55","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_analysis","0.80","0.66","0.40","0.28","0.58","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_client_interaction","0.60","0.70","0.19","0.07","0.53","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_coordination","0.64","0.72","0.23","0.11","0.51","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_documentation","0.76","0.60","0.43","0.31","0.48","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_drafting","0.82","0.60","0.47","0.35","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_qa_review","0.70","0.72","0.36","0.24","0.49","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
"occ_13_1161_00","cluster_research_synthesis","0.78","0.64","0.39","0.27","0.57","src_onet_30_1|src_internal_stub_2026_03","launch_stub_generated"
