"occupation_id","onet_task_id","task_cluster_id","source_id","exposure_score","augmentation_score","automation_score","observed_usage_share","evidence_type","confidence","notes"
"occ_13_1041_00","stub_13_1041_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.51","0.64","0.21","0.18","generated_task_proxy","0.41","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.55","0.66","0.25","0.32","generated_task_proxy","0.48","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.57","0.68","0.27","0.18","generated_task_proxy","0.40","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.67","0.54","0.45","0.22","generated_task_proxy","0.46","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_execution_routine","cluster_execution_routine","src_internal_stub_2026_03","0.75","0.46","0.53","0.30","generated_task_proxy","0.50","launch_stub_generated"
"occ_13_1041_00","stub_13_1041_00_workflow_admin","cluster_workflow_admin","src_internal_stub_2026_03","0.71","0.52","0.49","0.28","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.49","0.59","0.09","0.20","generated_task_proxy","0.42","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.53","0.61","0.13","0.26","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.55","0.63","0.15","0.18","generated_task_proxy","0.40","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.65","0.49","0.33","0.22","generated_task_proxy","0.44","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_qa_review","cluster_qa_review","src_internal_stub_2026_03","0.59","0.61","0.26","0.16","generated_task_proxy","0.39","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_relationship_management","cluster_relationship_management","src_internal_stub_2026_03","0.43","0.57","0.05","0.28","generated_task_proxy","0.49","launch_stub_generated"
"occ_13_1071_00","stub_13_1071_00_workflow_admin","cluster_workflow_admin","src_internal_stub_2026_03","0.69","0.47","0.37","0.26","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.51","0.64","0.21","0.18","generated_task_proxy","0.41","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.55","0.66","0.25","0.32","generated_task_proxy","0.48","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.57","0.68","0.27","0.18","generated_task_proxy","0.40","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.67","0.54","0.45","0.22","generated_task_proxy","0.46","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_execution_routine","cluster_execution_routine","src_internal_stub_2026_03","0.75","0.46","0.53","0.30","generated_task_proxy","0.50","launch_stub_generated"
"occ_13_1081_00","stub_13_1081_00_workflow_admin","cluster_workflow_admin","src_internal_stub_2026_03","0.71","0.52","0.49","0.28","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.51","0.64","0.21","0.18","generated_task_proxy","0.41","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.55","0.66","0.25","0.32","generated_task_proxy","0.48","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.57","0.68","0.27","0.18","generated_task_proxy","0.40","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.67","0.54","0.45","0.22","generated_task_proxy","0.46","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_execution_routine","cluster_execution_routine","src_internal_stub_2026_03","0.75","0.46","0.53","0.30","generated_task_proxy","0.50","launch_stub_generated"
"occ_13_1082_00","stub_13_1082_00_workflow_admin","cluster_workflow_admin","src_internal_stub_2026_03","0.71","0.52","0.49","0.28","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1111_00","stub_13_1111_00_analysis","cluster_analysis","src_anthropic_ei_2025_03_27","0.77","0.65","0.33","0.22","anthropic_task_usage","0.79","anthropic_normalized"
"occ_13_1111_00","stub_13_1111_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.58","0.72","0.15","0.26","generated_task_proxy","0.46","launch_stub_generated"
"occ_13_1111_00","stub_13_1111_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.62","0.74","0.19","0.22","generated_task_proxy","0.45","launch_stub_generated"
"occ_13_1111_00","stub_13_1111_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.64","0.76","0.21","0.30","generated_task_proxy","0.52","launch_stub_generated"
"occ_13_1111_00","stub_13_1111_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.74","0.62","0.39","0.20","generated_task_proxy","0.42","launch_stub_generated"
"occ_13_1111_00","stub_13_1111_00_oversight_strategy","cluster_oversight_strategy","src_internal_stub_2026_03","0.56","0.72","0.13","0.22","generated_task_proxy","0.40","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.49","0.59","0.09","0.20","generated_task_proxy","0.42","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.53","0.61","0.13","0.26","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_decision_support","cluster_decision_support","src_internal_stub_2026_03","0.55","0.63","0.15","0.18","generated_task_proxy","0.40","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_documentation","cluster_documentation","src_internal_stub_2026_03","0.65","0.49","0.33","0.22","generated_task_proxy","0.44","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_qa_review","cluster_qa_review","src_internal_stub_2026_03","0.59","0.61","0.26","0.16","generated_task_proxy","0.39","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_relationship_management","cluster_relationship_management","src_internal_stub_2026_03","0.43","0.57","0.05","0.28","generated_task_proxy","0.49","launch_stub_generated"
"occ_13_1151_00","stub_13_1151_00_workflow_admin","cluster_workflow_admin","src_internal_stub_2026_03","0.69","0.47","0.37","0.26","generated_task_proxy","0.47","launch_stub_generated"
"occ_13_1161_00","stub_13_1161_00_analysis","cluster_analysis","src_internal_stub_2026_03","0.80","0.66","0.40","0.26","generated_task_proxy","0.50","launch_stub_generated"
"occ_13_1161_00","stub_13_1161_00_client_interaction","cluster_client_interaction","src_internal_stub_2026_03","0.60","0.70","0.19","0.24","generated_task_proxy","0.45","launch_stub_generated"
"occ_13_1161_00","stub_13_1161_00_coordination","cluster_coordination","src_internal_stub_2026_03","0.64","0.72","0.23","0.20","generated_task_proxy","0.43","launch_stub_generated"
