"occupation_id","adaptive_capacity_score","transferability_score","learning_intensity_score","transition_option_count","job_zone","source_mix","confidence","notes"
"occ_13_1041_00","0.66","0.64","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_1071_00","0.68","0.65","0.63","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_1081_00","0.66","0.64","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_1082_00","0.66","0.64","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_1111_00","0.78","0.79","0.74","19","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated|manning_adaptive_capacity"
"occ_13_1151_00","0.68","0.65","0.63","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_1161_00","0.74","0.72","0.70","18","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_2011_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_2031_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_2051_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_2052_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_2053_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_13_2072_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_15_1211_00","0.82","0.80","0.78","19","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_15_1232_00","0.66","0.64","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_15_1252_00","0.84","0.80","0.78","19","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated|manning_adaptive_capacity"
"occ_15_1257_00","0.82","0.80","0.78","19","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_15_2051_00","0.84","0.82","0.82","20","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_23_1011_00","0.58","0.54","0.58","13","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_23_2011_00","0.58","0.54","0.58","13","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_27_3031_00","0.69","0.70","0.68","17","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_27_3041_00","0.64","0.67","0.65","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_27_3042_00","0.64","0.67","0.65","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_27_3043_00","0.64","0.67","0.65","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_41_3091_00","0.65","0.69","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_43_3031_00","0.70","0.67","0.64","16","4","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_43_4051_00","0.66","0.64","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
"occ_43_6011_00","0.66","0.64","0.60","16","3","src_onet_30_1|src_manning_aguirre_2026_01|src_internal_stub_2026_03","0.46","launch_stub_generated"
